iteration	time	nReplicationsDone	ConcentrationEnzyme_AcetGapperInMeth	ConcentrationEnzyme_AcetCreator	ConcentrationEnzyme_MethFiller	ConcentrationEnzyme_AcetCleaner	ConcentrationEnzyme_MethCreator	ConcentrationEnzyme_MethExtender	ConcentrationEnzyme_AcetReduceToMeth	ConcentrationEnzyme_MethReduceToAcet	ConcentrationEnzyme_AcetExtendToMeth	ConcentrationEnzyme_AcetFillerNN	ConcentrationEnzyme_MethCleaner	ConcentrationEnzyme_AcetExtender	ConcentrationEnzyme_MethCreatorNN	ConcentrationEnzyme_AcetEliminator	ConcentrationEnzyme_AcetExtender2	ConcentrationEnzyme_MethFillerNN	ConcentrationEnzyme_MethExtendToAcet	ConcentrationEnzyme_AcetFiller	ConcentrationEnzyme_MethGapperInAcet	ConcentrationEnzyme_AcetCreatorNN	ConcentrationEnzyme_MethEliminator	ConcentrationEnzyme_MethExtender2	AcetGapperInMeth_boundPos	AcetCreator_boundPos	MethFiller_boundPos	AcetCleaner_boundPos	MethCreator_boundPos	MethExtender_boundPos	AcetReduceToMeth_boundPos	MethReduceToAcet_boundPos	AcetExtendToMeth_boundPos	AcetFillerNN_boundPos	MethCleaner_boundPos	AcetExtender_boundPos	MethCreatorNN_boundPos	AcetEliminator_boundPos	AcetExtender2_boundPos	MethFillerNN_boundPos	MethExtendToAcet_boundPos	AcetFiller_boundPos	MethGapperInAcet_boundPos	AcetCreatorNN_boundPos	MethEliminator_boundPos	MethExtender2_boundPos	phase
	132	5.841190	1	1	1	0	1	1	1	0	1	1	2	1	0	0	1	0	1	6	1	1	1	1	0			22				159					138	183		212			202				107	0
	133	5.855717	1	1	1	0	1	1	1	0	1	1	2	1	0	0	1	1	1	6	1	1	1	1	0			22				159					138	183					202				107	0
	134	5.859205	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	1	1	6	1	1	1	1	0			22				159			221		138	183					202				107	0
	135	5.860975	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	6	1	1	1	1	0			22			95	159			221		138	183					202				107	0
	136	5.883195	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	6	1	1	1	1	0			22			95	159			221		138	183		191			202				107	0
	137	5.909233	1	1	1	0	1	1	1	0	1	1	1	1	0	0	1	0	1	6	1	1	1	1	0			22				159			221		138	183		191			202				107	0
	138	5.914282	1	1	1	0	1	1	0	0	1	1	1	1	0	0	1	0	1	6	1	1	1	1	0			22			188	159			221		138	183		191			202				107	0
	139	5.981860	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	6	1	1	1	1	0						188	159			221		138	183		191			202				107	0
	140	5.996196	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	6	2	1	1	1	0						188	159			221		138	183		191							107	0
	141	6.002473	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	6	2	1	1	1	0						188	159			221			183		191							107	0
	142	6.011048	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	6	2	1	1	1	0						188	159			221		213	183		191							107	0
	143	6.027606	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	6	2	1	1	1	0						188				221		213	183		191							107	0
	144	6.039430	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	0	1	6	1	1	1	1	0						188				221		213	183		191			223				107	0
	145	6.043905	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	6	1	1	1	1	0					77	188				221		213	183		191			223				107	0
	146	6.049248	1	1	1	1	1	0	0	1	1	1	2	1	0	0	1	0	1	6	1	1	1	1	0					77	188						213	183		191			223				107	0
	147	6.063433	1	1	1	1	1	0	0	1	1	1	1	1	0	0	1	0	1	6	1	1	1	1	0					77	188				139		213	183		191			223				107	0
